PROCEDURE_CODE,CPT4_CODE,CPT4_DESCRIPTION
2457,11400,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.5 cm or less"
2458,11401,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.6 to 1.0 cm"
2459,11402,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 1.1 to 2.0 cm"
2460,11403,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 2.1 to 3.0 cm"
2461,11404,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 3.1 to 4.0 cm"
2462,11406,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter over 4.0 cm"
2474,11420,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less"
2475,11421,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm"
2476,11422,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm"
2477,11423,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm"
2478,11424,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm"
2479,11426,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm"
2490,11440,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.5 cm or less"
2491,11441,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.6 to 1.0 cm"
2492,11442,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 1.1 to 2.0 cm"
2493,11443,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 2.1 to 3.0 cm"
2494,11444,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 3.1 to 4.0 cm"
2495,11446,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter over 4.0 cm"
2499,11450,"Excision of skin and subcutaneous tissue for hidradenitis, axillary; with simple or intermediate repair"
2500,11451,"Excision of skin and subcutaneous tissue for hidradenitis, axillary; with complex repair"
2505,11462,"Excision of skin and subcutaneous tissue for hidradenitis, inguinal; with simple or intermediate repair"
2506,11463,"Excision of skin and subcutaneous tissue for hidradenitis, inguinal; with complex repair"
2517,11470,"Excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal, or umbilical; with simple or intermediate repair"
2518,11471,"Excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal, or umbilical; with complex repair"
2563,11600,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 0.5 cm or less"
2564,11601,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 0.6 to 1.0 cm"
2565,11602,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 1.1 to 2.0 cm"
2566,11603,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 2.1 to 3.0 cm"
2567,11604,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 3.1 to 4.0 cm"
2568,11606,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter over 4.0 cm"
2572,11620,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less"
2573,11621,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm"
2574,11622,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm"
2575,11623,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm"
2576,11624,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm"
2577,11626,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm"
2591,11640,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 0.5 cm or less"
2592,11641,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 0.6 to 1.0 cm"
2593,11642,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 1.1 to 2.0 cm"
2594,11643,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 2.1 to 3.0 cm"
2595,11644,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 3.1 to 4.0 cm"
2596,11646,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter over 4.0 cm"
2600,11719,"Trimming of nondystrophic nails, any number"
2601,11720,Debridement of nail(s) by any method(s); one to five
2602,11721,Debridement of nail(s) by any method(s); six or more
2606,11730,"Avulsion of nail plate, partial or complete, simple; single"
2607,11732,"Avulsion of nail plate, partial or complete, simple; each additional nail plate (List separately in addition to code for primary procedure)"
2608,11740,Evacuation of subungual hematoma
2609,11750,"Excision of nail and nail matrix, partial or complete, (eg, ingrown or deformed nail) for permanent removal;"
2610,11752,"Excision of nail and nail matrix, partial or complete, (eg, ingrown or deformed nail) for permanent removal; with amputation of tuft of distal phalanx"
2611,11755,"Biopsy of nail unit (eg, plate, bed, matrix, hyponychium, proximal and lateral nail folds) (separate procedure)"
2612,11760,Repair of nail bed
2613,11762,Reconstruction of nail bed with graft
2614,11765,"Wedge excision of skin of nail fold (eg, for ingrown toenail)"
2615,11770,Excision of pilonidal cyst or sinus; simple
2616,11771,Excision of pilonidal cyst or sinus; extensive
2617,11772,Excision of pilonidal cyst or sinus; complicated
2655,11900,"Injection, intralesional; up to and including seven lesions"
2658,11920,"Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; 6.0 sq cm or less"
2659,11921,"Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; 6.1 to 20.0 sq cm"
2677,11950,"Subcutaneous injection of filling material (eg, collagen); 1 cc or less"
2678,11951,"Subcutaneous injection of filling material (eg, collagen); 1.1 to 5.0 cc"
2679,11952,"Subcutaneous injection of filling material (eg, collagen); 5.1 to 10.0 cc"
2680,11954,"Subcutaneous injection of filling material (eg, collagen); over 10.0 cc"
2684,11960,"Insertion of tissue expander(s) for other than breast, including subsequent expansion"
2685,11970,Replacement of tissue expander with permanent prosthesis
2686,11971,Removal of tissue expander(s) without insertion of prosthesis
2688,11976,"Removal, implantable contraceptive capsules"
2695,11980,Subcutaneous hormone pellet implantation (implantation of estradiol and/or testosterone pellets beneath the skin)
2696,11981,"Insertion, non-biodegradable drug delivery implant"
2697,11982,"Removal, non-biodegradable drug delivery implant"
2698,11983,"Removal with reinsertion, non-biodegradable drug delivery implant"
2780,12001,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.5 cm or less"
2781,12002,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.6 cm to 7.5 cm"
2782,12004,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 7.6 cm to 12.5 cm"
2783,12005,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm"
2784,12006,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm"
2785,12007,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); over 30.0 cm"
2790,12011,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less"
2791,12013,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm"
2792,12014,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm"
2793,12015,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm"
2794,12016,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm"
2801,12020,Treatment of superficial wound dehiscence; simple closure
2802,12021,Treatment of superficial wound dehiscence; with packing
2809,12031,"Layer closure of wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.5 cm or less"
2810,12032,"Layer closure of wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.6 cm to 7.5 cm"
2811,12034,"Layer closure of wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 7.6 cm to 12.5 cm"
2812,12035,"Layer closure of wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 12.6 cm to 20.0 cm"
2813,12036,"Layer closure of wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 20.1 cm to 30.0 cm"
2814,12037,"Layer closure of wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); over 30.0 cm"
2818,12041,"Layer closure of wounds of neck, hands, feet and/or external genitalia; 2.5 cm or less"
2819,12042,"Layer closure of wounds of neck, hands, feet and/or external genitalia; 2.6 cm to 7.5 cm"
2820,12044,"Layer closure of wounds of neck, hands, feet and/or external genitalia; 7.6 cm to 12.5 cm"
2821,12045,"Layer closure of wounds of neck, hands, feet and/or external genitalia; 12.6 cm to 20.0 cm"
2823,12047,"Layer closure of wounds of neck, hands, feet and/or external genitalia; over 30.0 cm"
2827,12051,"Layer closure of wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less"
2828,12052,"Layer closure of wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm"
2829,12053,"Layer closure of wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm"
2830,12054,"Layer closure of wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm"
2831,12055,"Layer closure of wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm"
3068,13100,"Repair, complex, trunk; 1.1 cm to 2.5 cm"
3069,13101,"Repair, complex, trunk; 2.6 cm to 7.5 cm"
3070,13102,"Repair, complex, trunk; each additional 5 cm or less (List separately in addition to code for primary procedure)"
3077,13120,"Repair, complex, scalp, arms, and/or legs; 1.1 cm to 2.5 cm"
3078,13121,"Repair, complex, scalp, arms, and/or legs; 2.6 cm to 7.5 cm"
3079,13122,"Repair, complex, scalp, arms, and/or legs; each additional 5 cm or less (List separately in addition to code for primary procedure)"
3086,13131,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 1.1 cm to 2.5 cm"
3087,13132,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 2.6 cm to 7.5 cm"
3088,13133,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; each additional 5 cm or less (List separately in addition to code for primary procedure)"
3100,13150,"Repair, complex, eyelids, nose, ears and/or lips; 1.0 cm or less"
3101,13151,"Repair, complex, eyelids, nose, ears and/or lips; 1.1 cm to 2.5 cm"
3102,13152,"Repair, complex, eyelids, nose, ears and/or lips; 2.6 cm to 7.5 cm"
3103,13153,"Repair, complex, eyelids, nose, ears and/or lips; each additional 5 cm or less (List separately in addition to code for primary procedure)"
3104,13160,"Secondary closure of surgical wound or dehiscence, extensive or complicated"
3270,14000,"Adjacent tissue transfer or rearrangement, trunk; defect 10 sq cm or less"
3271,14001,"Adjacent tissue transfer or rearrangement, trunk; defect 10.1 sq cm to 30.0 sq cm"
3276,14020,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less"
3277,14021,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10.1 sq cm to 30.0 sq cm"
3279,14040,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less"
3280,14041,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm"
3281,14060,"Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10 sq cm or less"
3282,14061,"Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10.1 sq cm to 30.0 sq cm"
3330,14300,"Adjacent tissue transfer or rearrangement, more than 30 sq cm, unusual or complicated, any area"
3346,14350,"Filleted finger or toe flap, including preparation of recipient site"
3429,15002,"Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, trunk, arms, legs; first 100 sq cm or 1% of body area of infants and children"
3431,15004,"Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet and/or multiple digits; first 100 sq cm or 1% of body area of infants and children"
3433,15040,"Harvest of skin for tissue cultured skin autograft, 100 sq cm or less"
3439,15050,"Pinch graft, single or multiple, to cover small ulcer, tip of digit, or other minimal open area (except on face), up to defect size 2 cm diameter"
3440,15100,"Split-thickness autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children (except 15050)"
3441,15101,"Split-thickness autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
3442,15110,"Epidermal autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children"
3443,15111,"Epidermal autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
3444,15115,"Epidermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children"
3446,15120,"Split-thickness autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children (except 15050)"
3447,15121,"Split-thickness autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
3448,15130,"Dermal autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children"
3450,15135,"Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children"
3474,15200,"Full thickness graft, free, including direct closure of donor site, trunk; 20 sq cm or less"
3475,15201,"Full thickness graft, free, including direct closure of donor site, trunk; each additional 20 sq cm (List separately in addition to code for primary procedure)"
3481,15220,"Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; 20 sq cm or less"
